"","number","contract_name","name","address","banking","bonus","bike_stands","available_bike_stands","available_bikes","status","last_update","position.lat","position.lng"
"128",1006,"lyon","1006- SUBSISTANCES","12 QUAI ST VINCENT",FALSE,FALSE,22,17,2,"OPEN",1695363261000,45.767912,4.819872
"129",4002,"lyon","4002 - MAIRIE DU 4E","Devant la mairie du 4°",TRUE,TRUE,20,17,3,"OPEN",1695363246000,45.774193,4.827743
"130",20003,"lyon","20003 - OULLINS - PONT BLANC","",FALSE,FALSE,24,11,13,"OPEN",1695363165000,45.720156,4.798426
"131",3081,"lyon","3081 - PART-DIEU / FRANCFORT","44 RUE MAURICE FLANDIN 69003 LYON",TRUE,FALSE,28,4,24,"OPEN",1695363266000,45.760689,4.863069
"132",4007,"lyon","4007 - PLACE FLAMMARION","Côté Rue Philippe de Lassalle",FALSE,TRUE,18,17,1,"OPEN",1695363072000,45.779332,4.820259
"133",30002,"lyon","30002 - RILLIEUX - LOUP PENDU","",FALSE,TRUE,18,12,6,"OPEN",1695363027000,45.815973,4.887019
"134",3011,"lyon","3011 - PART-DIEU / CUIRASSIERS","",TRUE,FALSE,59,22,36,"OPEN",1695363228000,45.75991,4.857555
"135",10092,"lyon","10092 - MONTGOLFIER / CHATEAU GAILLARD","3 RUE DU CHAMP DE L'ORME (VILLEURBANNE)",FALSE,FALSE,17,8,9,"OPEN",1695362962000,45.771561,4.890378
"136",10024,"lyon","10024 - MAISONS NEUVES","Place des Maisons Neuves/Côté rue Jean Jaurès",TRUE,FALSE,23,22,0,"OPEN",1695363193000,45.755988,4.877409
"137",1034,"lyon","1034 - CARMÉLITES","30 MONTEE DES CARMELITES",FALSE,FALSE,16,15,0,"OPEN",1695363082000,45.770006,4.829274
"138",3013,"lyon","3013 - PLACE ANTOINETTE","Place Antoinette",FALSE,FALSE,21,18,3,"OPEN",1695363262000,45.753683,4.889285
"139",10008,"lyon","10008 - SALENGRO / VAILLANT","Rue Roger Salengro - Angle rue Vaillant",TRUE,FALSE,24,19,3,"OPEN",1695363193000,45.778385,4.879673
"140",3083,"lyon","3083 - LES HALLES","118 RUE MONCEY",FALSE,FALSE,18,9,9,"OPEN",1695363236000,45.761595,4.850477
"141",6024,"lyon","6024 - TRONCHET / ANATOLE FRANCE","Angle bvd Anatole France",FALSE,FALSE,10,3,7,"OPEN",1695363214000,45.770743,4.856713
"142",8006,"lyon","8006 - PLACE DU 8 MAI 1945","Rue Professeur Beauvisage/Angle bd des Etats-Unis",FALSE,FALSE,20,5,15,"OPEN",1695363189000,45.729771,4.868157
"143",23001,"lyon","23001 - TASSIN - TUILERIES","",TRUE,TRUE,12,12,0,"OPEN",1695362946000,45.763244,4.778641
"144",9052,"lyon","9052 - BALMONT","360 BVD DE BALMONT",FALSE,TRUE,12,12,0,"OPEN",1695362843000,45.789194,4.799308
"145",12002,"lyon","12002 - VAULX - POUDRETTE / LA SOIE","Face au 2 rue de la Poudrette, Vaulx en Velin",FALSE,FALSE,20,19,1,"OPEN",1695363252000,45.76438,4.919276
"146",6033,"lyon","6033 - CRÉQUI / LAFAYETTE","153 RUE CREQUI",FALSE,FALSE,15,13,0,"OPEN",1695363245000,45.763755,4.847082
"147",10012,"lyon","10012 - ZOLA / FRANCE","Rue de France/Angle Cours Emile Zola",FALSE,FALSE,16,1,15,"OPEN",1695363119000,45.767957,4.887232
"148",10123,"lyon","10123 - SAINT JEAN CANAL","",FALSE,FALSE,12,3,9,"OPEN",1695363072000,45.776646,4.902366
"149",4022,"lyon","4022 - PLACE DE LA CROIX-ROUSSE","Prox. Grande rue de la Croix-Rousse",FALSE,TRUE,21,13,7,"OPEN",1695363143000,45.77608,4.832543
